"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N3GQ7VE2","journalArticle","2014","Pal, Rameswar; Singh, Som Nath; Halder, Kaushik; Tomer, Omveer Singh; Mishra, Awadh Bihari; Saha, Mantu","Effects of Yogic Practice on Metabolism and Antioxidant - Redox Status of Physically Active Males","Journal of Physical Activity & Health","","1543-5474","10.1123/jpah.2013-0059","","BACKGROUND: To evaluate the effects of yogic practice on resting metabolism and redox status. METHODS: Study was conducted on 64 physically trained male volunteers selected randomly at Airforce Academy, Dundigal. The yoga group (n = 34) practiced yogasana, pranayama and meditation for 3 months (February - May 2011) and control group (n = 30) performed physical training. Antioxidant variables in blood samples along with physiological parameters were estimated before and after 3 months. RESULTS: No significant difference was noted between baseline data of control group and yoga group. Reduced glutathione, vitamin C, vitamin E, the ratio of reduced to oxidized glutathione and total antioxidant status were increased significantly following yogic practice. Activities of superoxide dismutase, glutathione S - transferase and glutathione reductase were significantly increased, whereas activity of glutathione peroxidase significantly decreased following yogic practice. Oxidized glutathione decreased significantly following yogic practice. A nonsignificant decrease of hydroperoxides, protein carbonyl, malondialdehyde and blood sugar was noted in the yoga group. Carbon dioxide elimination and peripheral oxygen saturation increased significantly following yogic practice. No significant changes were observed in the control group following 3 months of physical training. CONCLUSIONS: Regular yogic practice can improve resting metabolism and redox status of the practitioner.","41775","41916.06853009259","41916.06853009259","","","","","","","J Phys Act Health","","","","","","","","ENG","","","","","NCBI PubMed","","PMID: 24834493","","","http://www.ncbi.nlm.nih.gov/pubmed/24834493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDJJ5DXH","journalArticle","2014","Lauche, Romy; Langhorst, Jost; Paul, Anna; Dobos, Gustav; Cramer, Holger","Self-reported health and satisfaction of patients with chronic diseases who meditate: a case-control study","Quality of Life Research: An International Journal of Quality of Life Aspects of Treatment, Care and Rehabilitation","","1573-2649","10.1007/s11136-014-0714-8","","PURPOSE: While many clinical trials suggest that meditation is effective in reducing disease-related symptoms and increasing quality of life in diseased samples, subjective health benefits associated with the use of meditation under naturalistic conditions have not yet been investigated. The aim of this study was to investigate the differences in quality of life, mental health, and satisfaction in patients with chronic diseases who regularly use meditation versus those who do not. METHODS: The study applied a case-control design. Patients with chronic diseases who regularly used meditation were selected from a larger observational trial and compared to matched control patients who did not meditate regularly. They were compared in terms of their reported quality of life (SF-36 questionnaire), mental health (Hospital Anxiety and Depression Scale), life and health satisfaction (Questionnaire for Life Satisfaction), and medication usage as well as health locus of control (German version of the Multidimensional Health Locus of Control Scale). RESULTS: A total of 115 meditators and 115 controls were compared. Cases showed higher quality of life on the bodily pain subscale, higher internal and less external health locus of control, and higher life satisfaction than controls. No group differences were found for general health perception, most other aspects of quality of life, anxiety, depression, and medication use and health satisfaction. CONCLUSIONS: Regular practice of meditation was not clearly associated with better health perception in chronically diseased patients. However, those who regularly used meditation reported better pain-related quality of life and are more satisfied with their life.","41775","41916.06853009259","41916.06853009259","","","","","","","Qual Life Res","Self-reported health and satisfaction of patients with chronic diseases who meditate","","","","","","","ENG","","","","","NCBI PubMed","","PMID: 24832043","","","http://www.ncbi.nlm.nih.gov/pubmed/24832043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SJ58DGN","journalArticle","2014","Park, Jeanie; Lyles, Robert H.; Bauer-Wu, Susan","Mindfulness meditation lowers muscle sympathetic nerve activity and blood pressure in African-American males with chronic kidney disease","American Journal of Physiology. Regulatory, Integrative and Comparative Physiology","","1522-1490","10.1152/ajpregu.00558.2013","","Mindfulness meditation (MM) is a stress-reduction technique that may have real biological effects on hemodynamics but has never previously been tested in chronic kidney disease (CKD) patients. In addition, the mechanisms underlying the potential blood pressure (BP)-lowering effects of MM are unknown. We sought to determine whether MM acutely lowers BP in CKD patients, and whether these hemodynamic changes are mediated by a reduction in sympathetic nerve activity. In 15 hypertensive African-American (AA) males with CKD, we conducted a randomized, crossover study in which participants underwent 14 min of MM or 14 min of BP education (control intervention) during two separate random-order study visits. Muscle sympathetic nerve activity (MSNA), beat-to-beat arterial BP, heart rate (HR), and respiratory rate (RR) were continuously measured at baseline and during each intervention. A subset had a third study visit to undergo controlled breathing (CB) to determine whether a reduction in RR alone was sufficient in exacting hemodynamic changes. We observed a significantly greater reduction in systolic BP, diastolic BP, mean arterial pressure, and HR, as well as a significantly greater reduction in MSNA, during MM compared with the control intervention. Participants had a significantly lower RR during MM; however, in contrast to MM, CB alone did not reduce BP, HR, or MSNA. MM acutely lowers BP and HR in AA males with hypertensive CKD, and these hemodynamic effects may be mediated by a reduction in sympathetic nerve activity. RR is significantly lower during MM, but CB alone without concomitant meditation does not acutely alter hemodynamics or sympathetic activity in CKD.","41821","41916.06853009259","41916.06853009259","","R93-R101","","1","307","","Am. J. Physiol. Regul. Integr. Comp. Physiol.","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24829497  PMCID: PMC4080275","","","http://www.ncbi.nlm.nih.gov/pubmed/24829497","","African Americans; Aged; Blood Pressure; Cross-Over Studies; Georgia; Heart Rate; Humans; Hypertension; Male; Meditation; Middle Aged; Mindfulness; Muscle, Skeletal; Renal Insufficiency, Chronic; Respiratory Rate; Sympathetic Nervous System; Time Factors; Treatment Outcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5F6EBQDC","journalArticle","2014","Zeng, Xianglong; Li, Mengdan; Zhang, Bo; Liu, Xiangping","Revision of the Philadelphia Mindfulness Scale for Measuring Awareness and Equanimity in Goenka's Vipassana Meditation with Chinese Buddhists","Journal of Religion and Health","","1573-6571","10.1007/s10943-014-9870-y","","Goenka's 10-day Vipassana course is a widespread mindfulness course rooted in traditional Buddhism. Awareness and equanimity are two abilities cultivated in this course that are not featured in modern mindfulness-based psychotherapies and thereby not adequately measured by current mindfulness scales. The present article analyzed the Philadelphia Mindfulness Scale (PHLMS; Cardaciotto et al. in Assessment 15(2):204-223, 2008) and revised it into a short version to avoid confusion when measuring awareness and equanimity. Empirical data obtained using Chinese university students and Chinese Buddhists showed that the psychometric properties of the original version of the PHLMS had low factor loading on some items and that the short version had improved psychometric properties, especially for Buddhists. The short PHLMS also exhibited reasonable relationships with emotional outcomes and meditation practices among Buddhists. Implications for the future application of the PHLMS among Buddhists were also discussed.","41773","41916.06853009259","41916.06853009259","","","","","","","J Relig Health","","","","","","","","ENG","","","","","NCBI PubMed","","PMID: 24824919","","","http://www.ncbi.nlm.nih.gov/pubmed/24824919","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHQUC7J4","journalArticle","2014","Baird, Benjamin; Mrazek, Michael D.; Phillips, Dawa T.; Schooler, Jonathan W.","Domain-specific enhancement of metacognitive ability following meditation training","Journal of Experimental Psychology. General","","1939-2222","10.1037/a0036882","","Contemplative mental practices aim to enable individuals to develop greater awareness of their own cognitive and affective states through repeated examination of first-person experience. Recent cross-sectional studies of long-term meditation practitioners suggest that the subjective reports of such individuals are better calibrated with objective indices; however, the impact of mental training on metacognitive ability has not yet been examined in a randomized controlled investigation. The present study evaluated the impact of a 2-week meditation-training program on introspective accuracy in the domains of perception and memory. Compared with an active control group that elicited no change, we found that a 2-week meditation program significantly enhanced introspective accuracy, quantified by metacognitive judgments of cognition on a trial-by-trial basis, in a memory but not a perception domain. Together, these data suggest that, in at least some domains, the human capacity to introspect is plastic and can be enhanced through training. (PsycINFO Database Record (c) 2014 APA, all rights reserved).","41913","41916.06853009259","41916.06853009259","","1972-1979","","5","143","","J Exp Psychol Gen","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24820248","","","http://www.ncbi.nlm.nih.gov/pubmed/24820248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DM5BQV7D","journalArticle","2014","Tang, Yi-Yuan; Posner, Michael I.","Training brain networks and states","Trends in Cognitive Sciences","","1879-307X","10.1016/j.tics.2014.04.002","","Brain training refers to practices that alter the brain in a way that improves cognition, and performance in domains beyond those involved in the training. We argue that brain training includes network training through repetitive practice that exercises specific brain networks and state training, which changes the brain state in a way that influences many networks. This opinion article considers two widely used methods - working memory training (WMT) and meditation training (MT) - to demonstrate the similarities and differences between network and state training. These two forms of training involve different areas of the brain and different forms of generalization. We propose a distinction between network and state training methods to improve understanding of the most effective brain training.","41821","41916.06853009259","41916.06853009259","","345-350","","7","18","","Trends Cogn. Sci. (Regul. Ed.)","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24816329","","","http://www.ncbi.nlm.nih.gov/pubmed/24816329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JWA7JGIM","journalArticle","2014","Brotto, Lori A.; Basson, Rosemary","Group mindfulness-based therapy significantly improves sexual desire in women","Behaviour Research and Therapy","","1873-622X","10.1016/j.brat.2014.04.001","","At least a third of women across reproductive ages experience low sexual desire and impaired arousal. There is increasing evidence that mindfulness, defined as non-judgmental present moment awareness, may improve women's sexual functioning. The goal of this study was to test the effectiveness of mindfulness-based therapy, either immediately or after a 3-month waiting period, in women seeking treatment for low sexual desire and arousal. Women participated in four 90-min group sessions that included mindfulness meditation, cognitive therapy, and education. A total of 117 women were assigned to either the immediate treatment (n = 68, mean age 40.8 yrs) or delayed treatment (n = 49, mean age 42.2 yrs) group, in which women had two pre-treatment baseline assessments followed by treatment. A total of 95 women completed assessments through to the 6-month follow-up period. Compared to the delayed treatment control group, treatment significantly improved sexual desire, sexual arousal, lubrication, sexual satisfaction, and overall sexual functioning. Sex-related distress significantly decreased in both conditions, regardless of treatment, as did orgasmic difficulties and depressive symptoms. Increases in mindfulness and a reduction in depressive symptoms predicted improvements in sexual desire. Mindfulness-based group therapy significantly improved sexual desire and other indices of sexual response, and should be considered in the treatment of women's sexual dysfunction.","41791","41916.06853009259","41916.06853009259","","43-54","","","57","","Behav Res Ther","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24814472","","","http://www.ncbi.nlm.nih.gov/pubmed/24814472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DDDHK56K","journalArticle","2014","Berkovich-Ohana, Aviva; Glicksohn, Joseph","The consciousness state space (CSS)-a unifying model for consciousness and self","Frontiers in Psychology","","1664-1078","10.3389/fpsyg.2014.00341","","Every experience, those we are aware of and those we are not, is embedded in a subjective timeline, is tinged with emotion, and inevitably evokes a certain sense of self. Here, we present a phenomenological model for consciousness and selfhood which relates time, awareness, and emotion within one framework. The consciousness state space (CSS) model is a theoretical one. It relies on a broad range of literature, hence has high explanatory and integrative strength, and helps in visualizing the relationship between different aspects of experience. Briefly, it is suggested that all phenomenological states fall into two categories of consciousness, core and extended (CC and EC, respectively). CC supports minimal selfhood that is short of temporal extension, its scope being the here and now. EC supports narrative selfhood, which involves personal identity and continuity across time, as well as memory, imagination and conceptual thought. The CSS is a phenomenological space, created by three dimensions: time, awareness and emotion. Each of the three dimensions is shown to have a dual phenomenological composition, falling within CC and EC. The neural spaces supporting each of these dimensions, as well as CC and EC, are laid out based on the neuroscientific literature. The CSS dynamics include two simultaneous trajectories, one in CC and one in EC, typically antagonistic in normal experiences. However, this characteristic behavior is altered in states in which a person experiences an altered sense of self. Two examples are laid out, flow and meditation. The CSS model creates a broad theoretical framework with explanatory and unificatory power. It constructs a detailed map of the consciousness and selfhood phenomenology, which offers constraints for the science of consciousness. We conclude by outlining several testable predictions raised by the CSS model.","2014","41916.06853009259","41916.06853009259","","341","","","5","","Front Psychol","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24808870  PMCID: PMC4010789","","","http://www.ncbi.nlm.nih.gov/pubmed/24808870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N69VGR9K","journalArticle","2014","Chapman, Sandra B.; Mudar, Raksha A.","Enhancement of cognitive and neural functions through complex reasoning training: evidence from normal and clinical populations","Frontiers in Systems Neuroscience","","1662-5137","10.3389/fnsys.2014.00069","","Public awareness of cognitive health is fairly recent compared to physical health. Growing evidence suggests that cognitive training offers promise in augmenting cognitive brain performance in normal and clinical populations. Targeting higher-order cognitive functions, such as reasoning in particular, may promote generalized cognitive changes necessary for supporting the complexities of daily life. This data-driven perspective highlights cognitive and brain changes measured in randomized clinical trials that trained gist reasoning strategies in populations ranging from teenagers to healthy older adults, individuals with brain injury to those at-risk for Alzheimer's disease. The evidence presented across studies support the potential for Gist reasoning training to strengthen cognitive performance in trained and untrained domains and to engage more efficient communication across widespread neural networks that support higher-order cognition. The meaningful benefits of Gist training provide compelling motivation to examine optimal dose for sustained benefits as well as to explore additive benefits of meditation, physical exercise, and/or improved sleep in future studies.","2014","41916.06853009259","41916.06853009259","","69","","","8","","Front Syst Neurosci","Enhancement of cognitive and neural functions through complex reasoning training","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24808834  PMCID: PMC4009420","","","http://www.ncbi.nlm.nih.gov/pubmed/24808834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NITSX4HC","journalArticle","2013","Schroeder, David; Korsakov, Fedor; Jolton, Joseph; Keefe, Francis J.; Haley, Alex; Keefe, Daniel F.","Creating widely accessible spatial interfaces: mobile VR for managing persistent pain","IEEE computer graphics and applications","","1558-1756","10.1109/MCG.2013.38","","Using widely accessible VR technologies, researchers have implemented a series of multimodal spatial interfaces and virtual environments. The results demonstrate the degree to which we can now use low-cost (for example, mobile-phone based) VR environments to create rich virtual experiences involving motion sensing, physiological inputs, stereoscopic imagery, sound, and haptic feedback. Adapting spatial interfaces to these new platforms can open up exciting application areas for VR. In this case, the application area was in-home VR therapy for patients suffering from persistent pain (for example, arthritis and cancer pain). For such therapy to be successful, a rich spatial interface and rich visual aesthetic are particularly important. So, an interdisciplinary team with expertise in technology, design, meditation, and the psychology of pain collaborated to iteratively develop and evaluate several prototype systems. The video at http://youtu.be/mMPE7itReds demonstrates how the sine wave fitting responds to walking motions, for a walking-in-place application.","2013 May-Jun","41916.06853009259","41916.06853009259","","82-89","","3","33","","IEEE Comput Graph Appl","Creating widely accessible spatial interfaces","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24807994","","","http://www.ncbi.nlm.nih.gov/pubmed/24807994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8I6665I","journalArticle","2014","Huysmans, K.; De Wulf, I.; Foulon, V.; De Loof, H.; Steurbaut, S.; Boussery, K.; De Vriese, C.; Lacour, V.; Van Hees, T.; De Meyer, G. R. Y.","[Drug related problems in Belgian community pharmacies]","Journal De Pharmacie De Belgique","","0047-2166","","","INTRODUCTION: The identification, the management and if possible the prevention of drug related problems (DRP), are the main responsibilities of pharmacists. AIM: The aims of the study were 1/to investigate the frequency and nature of drug related problems detected by community pharmacists, 2/to inventories the frequency and nature of the interventions by community pharmacists on prescribed medicines, and 3/to evaluate whether there is a difference between DRP detection at the moment of dispensing versus in a quiet setting (a posteriori detection). METHOD: All trainees of the participating universities of Belgian were asked to contribute to a observational study. Participating pharmacists quantified DRP's and their interventions on prescribed medicines for 5 days. Registrations were made by using a web tool based on an adapted version of the classification list of PCNE. The registration took place in two phases, at the time of delivery as well as in an a posteriori verification of the prescriptions with the pharmaceutical record file of the patients. RESULTS: The study was conducted from November 2012 to April 2013 in 534 community-pharmacies with internship. During this period 9.869 prescriptions (15%) with at least one DRP were detected on a total of 64.962 prescriptions treated by tutor pharmacists. Since there could be more than one problem on a prescription, 15.952 DRP's were registered. 2.597 of the DRP's were detected by a posteriori verification. 75% of all problems had a technical cause and 37% were clinical in nature. Under the technical causes an incomplete prescription was the most common. The most frequently registered clinical causes were a drug interaction, an inopportune time of intake, a too high or too low dose and an unsuitable drug. Participating pharmacists solved almost 3 of the 4 detected DRP's. In more than half of the DRP's, the patient was verbally and/or written informed. In 44% of the a posteriori discovered problems, the pharmacist intervened. CONCLUSION: Pharmacist detected one or more DRP's with 15% of the prescriptions. Analysis of a prescription prior to dispensing the medicines therefore appears necessary. The active intervention of the pharmacist in 83% of the problems indicates that he contributes to the optimization of drug therapy with a potential increase in the quality of life of the patient and a reduction in the cost of healthcare. The a posteriori discovered DRP's demonstrate the need for pharmacist lead meditation reviews possibly together with the physician and/or patient.","41699","41916.06853009259","41916.06853009259","","42840","","1","","","J Pharm Belg","","","","","","","","fre","","","","","NCBI PubMed","","PMID: 24804389","","","http://www.ncbi.nlm.nih.gov/pubmed/24804389","","Belgium; Community Pharmacy Services; Drug Prescriptions; Drug-Related Side Effects and Adverse Reactions; Female; Humans; Male; Medication Errors; Middle Aged; Pharmacists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DQRW95A","journalArticle","2014","Huebner, Jutta; Muenstedt, Karsten; Prott, Franz J.; Stoll, Christoph; Micke, Oliver; Buentzel, Jens; Muecke, Ralph; Senf, Bianca","Online survey of patients with breast cancer on complementary and alternative medicine","Breast Care (Basel, Switzerland)","","1661-3791","10.1159/000360381","","About 50% of cancer patients use complementary and alternative medicine (CAM). Women with breast cancer use CAM more frequently than others. We linked a questionnaire to the largest internet portal for cancer patients in Germany. The questionnaire addresses attitude towards CAM, disclosure to the oncologist, source of information, and objectives for use of CAM. 80 patients with breast cancer took part in our study, 61 currently using CAM. Most frequently used CAM methods were selenium, relaxation techniques, prayer, vitamin C, and meditation. Satisfaction was highest with relaxation techniques, vitamin C, homeopathy, yoga and Chinese herbs, lowest with mistletoe and acupuncture. 70% of participants did not think their oncologist took time to discuss CAM. Only 16% believed that their oncologist was well-informed about CAM. 46% relied on naturopaths and non-medical practitioners concerning CAM. Objectives for the use of CAM were to reduce side effects, boost the immune system, and become active.","41671","41916.06853009259","41916.06853009259","","60-63","","1","9","","Breast Care (Basel)","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24803889  PMCID: PMC3995381","","","http://www.ncbi.nlm.nih.gov/pubmed/24803889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5VDQK6U","journalArticle","2014","","Ready for the front line","Nursing Standard (Royal College of Nursing (Great Britain): 1987)","","0029-6570","10.7748/ns2014.05.28.36.62.s61","","Tristan Griffin, officer commanding for the British Army's field mental health team, introduced a programme of mindfulness--a form of meditation--for nurses and medical reservists preparing for deployment to Camp Bastion in Afghanistan, site of the largest military hospital in the world.","41772","41916.06853009259","41916.06853009259","","62","","36","28","","Nurs Stand","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24802481","","","http://www.ncbi.nlm.nih.gov/pubmed/24802481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBM9CAH6","journalArticle","2014","Panigrahi, Ansuman; Padhy, Aditya Prasad; Panigrahi, Madhulita","Mental health status among married working women residing in Bhubaneswar city, India: a psychosocial survey","BioMed Research International","","2314-6141","10.1155/2014/979827","","Mental health is a major public health concern worldwide. This study aimed to assess the mental health status and its correlates among married working women residing in Bhubaneswar city of Odisha, India. A cross-sectional study was undertaken in 240 households involving 240 married working women following a multistage cluster random sampling design. Using the predesigned, pretested interview schedule and self-reporting questionnaire, all relevant information was collected. Our study revealed that 32.9% of study respondents had poor mental health and only about 10% of these women had sought any kind of mental health services. Logistic regression analysis showed that 3 predictors such as favourable attitude of colleagues, sharing their own problems with husband, and spending time for yoga/meditation/exercise had significant positive impact on the mental health status of married working women. A preventive program regarding various aspects of mental health for married working women at workplace as well as community level could be a useful strategy in reducing this public health problem.","2014","41916.06853009259","41916.06853009259","","979827","","","2014","","Biomed Res Int","Mental health status among married working women residing in Bhubaneswar city, India","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24800258  PMCID: PMC3988941","","","http://www.ncbi.nlm.nih.gov/pubmed/24800258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIRUR5FD","journalArticle","2014","Kox, Matthijs; van Eijk, Lucas T.; Zwaag, Jelle; van den Wildenberg, Joanne; Sweep, Fred C. G. J.; van der Hoeven, Johannes G.; Pickkers, Peter","Voluntary activation of the sympathetic nervous system and attenuation of the innate immune response in humans","Proceedings of the National Academy of Sciences of the United States of America","","1091-6490","10.1073/pnas.1322174111","","Excessive or persistent proinflammatory cytokine production plays a central role in autoimmune diseases. Acute activation of the sympathetic nervous system attenuates the innate immune response. However, both the autonomic nervous system and innate immune system are regarded as systems that cannot be voluntarily influenced. Herein, we evaluated the effects of a training program on the autonomic nervous system and innate immune response. Healthy volunteers were randomized to either the intervention (n = 12) or control group (n = 12). Subjects in the intervention group were trained for 10 d in meditation (third eye meditation), breathing techniques (i.a., cyclic hyperventilation followed by breath retention), and exposure to cold (i.a., immersions in ice cold water). The control group was not trained. Subsequently, all subjects underwent experimental endotoxemia (i.v. administration of 2 ng/kg Escherichia coli endotoxin). In the intervention group, practicing the learned techniques resulted in intermittent respiratory alkalosis and hypoxia resulting in profoundly increased plasma epinephrine levels. In the intervention group, plasma levels of the anti-inflammatory cytokine IL-10 increased more rapidly after endotoxin administration, correlated strongly with preceding epinephrine levels, and were higher. Levels of proinflammatory mediators TNF-α, IL-6, and IL-8 were lower in the intervention group and correlated negatively with IL-10 levels. Finally, flu-like symptoms were lower in the intervention group. In conclusion, we demonstrate that voluntary activation of the sympathetic nervous system results in epinephrine release and subsequent suppression of the innate immune response in humans in vivo. These results could have important implications for the treatment of conditions associated with excessive or persistent inflammation, such as autoimmune diseases.","41779","41916.06853009259","41916.06853009259","","7379-7384","","20","111","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24799686  PMCID: PMC4034215","","","http://www.ncbi.nlm.nih.gov/pubmed/24799686","","Adult; Anoxia; Catecholamines; Cold Temperature; Endotoxins; Epinephrine; Healthy Volunteers; Humans; Hydrocortisone; Immunity, Innate; Inflammation; Interleukin-6; Interleukin-8; Interleukin-10; Male; Meditation; Respiration; Sympathetic Nervous System; Tumor Necrosis Factor-alpha; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSNGJDNI","journalArticle","2014","Lu, H.; Song, Y.; Xu, M.; Wang, X.; Li, X.; Liu, J.","The brain structure correlates of individual differences in trait mindfulness: a voxel-based morphometry study","Neuroscience","","1873-7544","10.1016/j.neuroscience.2014.04.051","","Mindfulness is the state of being attentive to and aware of what is taking place in the present, which is beneficial for reducing stress-related symptoms and improving mental and physical health. Previous studies have demonstrated that meditation practice can improve individuals' mindfulness through modifying functions and structures of multiple brain regions, including the anterior cingulate cortex (ACC), insula, fronto-limbic network, posterior cingulate cortex (PCC), and temporal-parietal junction. However, little is known about the neuroanatomical correlates of trait mindfulness. In the current study, we used voxel-based morphometry to investigate the neural correlates of individual differences in trait mindfulness by correlating the gray matter (GM) volume of each voxel across the whole brain with trait mindfulness measured by the Mindful Attention Awareness Scale in a large sample of young adults (N=247). We found that individuals who were more mindful of the present had greater GM volume in the right hippocampus/amygdala and bilateral ACC, but less GM volume in bilateral PCC and the left orbitofrontal cortex. These results suggest that trait mindfulness is associated with brain regions involved in executive attention, emotion regulation, and self-referential processing, through which mindfulness may exert its beneficial effects on psychological and physical well-being.","41831","41916.06853009259","41916.06853009259","","21-28","","","272","","Neuroscience","The brain structure correlates of individual differences in trait mindfulness","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24797333","","","http://www.ncbi.nlm.nih.gov/pubmed/24797333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8MQN8QP","journalArticle","2014","Innes, Kim E.; Selfe, Terry Kit","Meditation as a therapeutic intervention for adults at risk for Alzheimer's disease - potential benefits and underlying mechanisms","Frontiers in Psychiatry","","1664-0640","10.3389/fpsyt.2014.00040","","Alzheimer's disease (AD) is a chronic, progressive, brain disorder that affects at least 5.3 million Americans at an estimated cost of $148 billion, figures that are expected to rise steeply in coming years. Despite decades of research, there is still no cure for AD, and effective therapies for preventing or slowing progression of cognitive decline in at-risk populations remain elusive. Although the etiology of AD remains uncertain, chronic stress, sleep deficits, and mood disturbance, conditions common in those with cognitive impairment, have been prospectively linked to the development and progression of both chronic illness and memory loss and are significant predictors of AD. Therapies such as meditation that specifically target these risk factors may thus hold promise for slowing and possibly preventing cognitive decline in those at risk. In this study, we briefly review the existing evidence regarding the potential utility of meditation as a therapeutic intervention for those with and at risk for AD, discuss possible mechanisms underlying the observed benefits of meditation, and outline directions for future research.","2014","41916.06853009259","41916.06853009259","","40","","","5","","Front Psychiatry","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24795656  PMCID: PMC4005947","","","http://www.ncbi.nlm.nih.gov/pubmed/24795656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UP6URQPS","journalArticle","2014","Gard, Tim; Taquet, Maxime; Dixit, Rohan; Hölzel, Britta K.; de Montjoye, Yves-Alexandre; Brach, Narayan; Salat, David H.; Dickerson, Bradford C.; Gray, Jeremy R.; Lazar, Sara W.","Fluid intelligence and brain functional organization in aging yoga and meditation practitioners","Frontiers in Aging Neuroscience","","1663-4365","10.3389/fnagi.2014.00076","","Numerous studies have documented the normal age-related decline of neural structure, function, and cognitive performance. Preliminary evidence suggests that meditation may reduce decline in specific cognitive domains and in brain structure. Here we extended this research by investigating the relation between age and fluid intelligence and resting state brain functional network architecture using graph theory, in middle-aged yoga and meditation practitioners, and matched controls. Fluid intelligence declined slower in yoga practitioners and meditators combined than in controls. Resting state functional networks of yoga practitioners and meditators combined were more integrated and more resilient to damage than those of controls. Furthermore, mindfulness was positively correlated with fluid intelligence, resilience, and global network efficiency. These findings reveal the possibility to increase resilience and to slow the decline of fluid intelligence and brain functional architecture and suggest that mindfulness plays a mechanistic role in this preservation.","2014","41916.06853009259","41916.06853009259","","76","","","6","","Front Aging Neurosci","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24795629  PMCID: PMC4001007","","","http://www.ncbi.nlm.nih.gov/pubmed/24795629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
